time,open,high,low,close,Volume
2025-03-07 16:00:00+00:00,20021.0,20035.0,19857.5,19872.0,164116
2025-03-07 16:30:00+00:00,19872.75,19884.5,19766.0,19830.75,161042
2025-03-07 17:00:00+00:00,19830.75,19896.0,19771.75,19875.0,146431
2025-03-07 17:30:00+00:00,19874.25,20083.75,19845.75,19945.0,176322
2025-03-07 18:00:00+00:00,19945.5,20124.25,19943.0,20054.0,163579
2025-03-07 18:30:00+00:00,20054.25,20176.5,20041.0,20169.5,112210
2025-03-07 19:00:00+00:00,20169.5,20273.0,20120.5,20252.0,126555
2025-03-07 19:30:00+00:00,20251.75,20273.75,20163.5,20193.0,116912
2025-03-07 20:00:00+00:00,20193.0,20254.5,20169.75,20225.5,103539
2025-03-07 20:30:00+00:00,20225.75,20286.75,20099.0,20224.75,128375
2025-03-07 21:00:00+00:00,20224.25,20228.75,20145.0,20208.75,22895
2025-03-10 13:30:00+00:00,19881.75,19902.0,19744.5,19790.5,267908
2025-03-10 14:00:00+00:00,19791.0,19791.5,19654.25,19668.25,215059
2025-03-10 14:30:00+00:00,19668.25,19697.25,19520.0,19553.5,188918
2025-03-10 15:00:00+00:00,19554.5,19636.25,19549.0,19632.75,163241
2025-03-10 15:30:00+00:00,19633.25,19702.75,19574.0,19587.0,156272
2025-03-10 16:00:00+00:00,19586.75,19620.75,19522.5,19579.75,114580
2025-03-10 16:30:00+00:00,19579.75,19639.5,19531.5,19542.75,103954
2025-03-10 17:00:00+00:00,19543.0,19552.5,19455.0,19508.0,122770
2025-03-10 17:30:00+00:00,19508.0,19513.75,19422.5,19441.75,99944
2025-03-10 18:00:00+00:00,19441.75,19498.5,19396.75,19431.5,100071
2025-03-10 18:30:00+00:00,19431.0,19468.5,19330.0,19339.0,96996
2025-03-10 19:00:00+00:00,19338.75,19500.0,19271.75,19434.0,153849
2025-03-10 19:30:00+00:00,19434.0,19551.0,19392.75,19463.25,160425
2025-03-10 20:00:00+00:00,19463.5,19478.25,19416.0,19465.25,26676
